,Unnamed: 0,label,name,text,predicted_label
2302,0.0,spam,2450.2004-09-22.GP.spam.txt,subject time get equity loan,ham
836,0.0,spam,3272.2004-11-26.GP.spam.txt,subject,ham
9714,0.0,spam,5042.2005-08-19.GP.spam.txt,subject,ham
14592,0.0,spam,2425.2004-12-30.BG.spam.txt,subject document document attached,ham
6245,0.0,spam,3252.2005-07-03.SA_and_HP.spam.txt,subject claire swire loook christina aguileratechnology driving,ham
10045,0.0,spam,2175.2004-09-15.GP.spam.txt,subject,ham
9741,0.0,spam,2047.2004-08-31.GP.spam.txt,subject get date tonight,ham
624,0.0,spam,2008.2004-08-13.GP.spam.txt,subject,ham
9683,0.0,spam,3661.2005-02-02.GP.spam.txt,subject,ham
1317,0.0,spam,3860.2005-01-10.GP.spam.txt,subject,ham
230,0.0,spam,2275.2004-09-07.GP.spam.txt,subject career opportunities,ham
1787,0.0,spam,5480.2005-06-22.GP.spam.txt,subject,ham
11859,0.0,spam,4466.2005-07-13.SA_and_HP.spam.txt,subject nymex invitation learn power trading power trading fundamentals sept nymex statements early bird discount effect nymex power delegates learn electricity markets overview simulated trading exercise market factors basic trading tools new york mercantile exchange financial instruments options real options role risk management identifying different types risk position analysis portfolio management click request complete course syllabus contractual terms operational terms terminology trading motivations different physical electricity market participants statements low sell high varied traded assets types electricity transactions long term medium short term contracts transmission services traded power two day course provides participants comprehensive training power trading deal structuring credit risk volatility risk management bilateral opportunities emi experts instruct using current data real life examples practical experience contact emi click request information including syllabus hurry class sizes limited click see energy training opportunities registration visit online statements energyinstitution org madison ave new york unsubscribe future notices please email unsubscribe energyinstitution org,ham
9090,0.0,spam,0580.2002-07-20.SA_and_HP.spam.txt,subject database bill gates statements want know struggling access manage data worry bill gates agrees access confusing finding excel fine spreadsheet allow build custom applications reports data worry alternative good news million customers found really good alternativetry database software make feel like dummy free email click receive free day full working copy award winning database decide foryourself see world describes product elegant powerful database easier access infoworld says database leaves access dust business since acknowledged leader powerful useabledatabases solve business personal information management needs database easily manage scheduling contacts mailings organize billing invoicing receivables payables track inventory equipment facilities manage customer information service employee medical school records keep track report projects maintenance andmuch removed list click,ham
2164,0.0,spam,0498.2004-02-28.GP.spam.txt,subject,ham
3564,0.0,spam,4281.2005-02-14.GP.spam.txt,subject,ham
16256,0.0,spam,1015.2004-10-11.BG.spam.txt,subject well files disney stock quotesin short,ham
8795,0.0,spam,3892.2005-07-13.SA_and_HP.spam.txt,subject nymex invitation learn power trading power trading fundamentals sept nymex statements early bird discount effect nymex power delegates learn electricity markets overview simulated trading exercise market factors basic trading tools new york mercantile exchange financial instruments options real options role risk management identifying different types risk position analysis portfolio management click request complete course syllabus contractual terms operational terms terminology trading motivations different physical electricity market participants statements low sell high varied traded assets types electricity transactions long term medium short term contracts transmission services traded power two day course provides participants comprehensive training power trading deal structuring credit risk volatility risk management bilateral opportunities emi experts instruct using current data real life examples practical experience contact emi click request information including syllabus hurry class sizes limited click see energy training opportunities registration visit online statements energyinstitution org madison ave new york unsubscribe future notices please email unsubscribe energyinstitution org,ham
10443,0.0,spam,0445.2004-02-14.GP.spam.txt,subject,ham
10708,0.0,spam,4057.2005-03-16.GP.spam.txt,subject note,ham
12944,0.0,spam,3796.2005-03-07.BG.spam.txt,subject let lapi knewelch,ham
15754,0.0,spam,3150.2005-02-01.BG.spam.txt,subject good heard lot nanohoost,ham
1589,0.0,spam,1057.2004-05-04.GP.spam.txt,subject,ham
