,Unnamed: 0,label,name,text,predicted_label
33375,0.0,ham,2338.2000-12-29.lokay.ham.txt,subject instructions life new millennium dalai lama take account great love great achievements involve great risk lose lose lesson follow three respect self respect others responsibility actions remember getting want sometimes wonderful stroke luck learn rules know break properly let little dispute injure great friendship realize made mistake take immediate steps correct spend time alone every day open arms change let values remember silence sometimes best answer live good honourable life get older think back able enjoy second time loving atmosphere home foundation life disagreements loved ones deal current situation bring past share knowledge way achieve immortality gentle earth year someplace never remember best relationship one love exceeds need judge success give order get approach love cooking reckless abandon keep message mantra must leave hands within hours get pleasant surprise true even superstitious send people life improve slightly people life improve liking people least surprises next weeks people life improve drastically everything ever dreamed begin take shape needed extra points get web free msn explorer download http explorer msn com,spam
20981,0.0,ham,4516.2001-12-10.kitchen.ham.txt,subject symbolic current struggle,spam
25226,0.0,ham,5062.2001-11-09.farmer.ham.txt,subject important video announcement important video announcement future company please access video thank,spam
25183,0.0,ham,1523.2000-06-28.farmer.ham.txt,subject dvd expires soon half com free coupon half com half com new site cds books movies video games everything get first order plus free shipping first order items sure pass coupon friends click bucks coupon code lifestyle use lose expires soon click bucks coupon code lifestyle hottest titles last including cds santana sync dixie chicks jay christina aguilera project sixth sense matrix dvds world enough blair witch free coupon half com click bucks coupon code lifestyle shopping cart page enter coupon code right side page submitting code coupon displayed shopping cart received invitation participate offer someone using mail address agreed receive special promotional offers retail trade services web site partners wish excluded future offers please reply message type unsubscribe subject line questions sent wish know privacy policies please,spam
26726,0.0,ham,3391.2001-01-22.farmer.ham.txt,subject take super ticket use super savings ticket foot locker lady foot locker kids foot locker champs sports stores web sites welcome friends family super savings ticket use special ticket receive purchase either stores web sites hurry three day ticket good thursday jan saturday jan share savings today mail offer friends family many items already reduced discount taken lowest sale price click print friends family super savings ticket must bring coupon store redeem ready set save simply click links provided friends family discount automatically appear checkout type code promotion box checkout returns hassle free either one stores mail footlocker com coupon code ladyfootlocker com coupon code ffjl kidsfootlocker com coupon code ffjl champssports com coupon code ffjl left register today want hear products promotions events specials click join terms conditions valid passport must presented time purchase cannot used conjunction discount offer associate benefit redeemable cash applicable taxes must paid bearer cannot applied prior purchases gift card purchases void copied prohibited licensed regulated catalog exclusions apply valid nfl team shop nfl experience tampa discount apply nike air force timberland field boots jordan nike shox nfl super bowl products wish receive future emails please click unsubscribe,spam
23768,0.0,ham,0896.2000-05-02.beck.ham.txt,subject somewhere live would recommend anywhere,spam
32280,0.0,ham,3729.2001-06-08.lokay.ham.txt,subject fun atto gif,spam
33213,0.0,ham,1116.2000-09-19.lokay.ham.txt,subject ripley house photo album,spam
25949,0.0,ham,0177.2000-01-11.farmer.ham.txt,subject quips remember amateurs built ark professionals built titanic conscience hurts everything else feels good talk cheap supply exceeds demand stupidity got mess get love grand divorce hundred grand even right track get run sit politicians diapers one thing common changed regularly reason optimist thinks best possible world pessimist fears true always death taxes however death get worse every year people accept ideas much readily tell benjamin franklin said first easier fight one principles live mind going nowhere long interesting path anything free worth pay indecision key flexibility hurts cutting edge broke fix till get even get odder two days tomorrow yesterday always wanted procrastinator never got around dijon mustard nutritional overachiever inferiority complex good money experience plan living forever far good shape round shape afraid heights afraid widths practice safe eating always use condiments day without sunshine like night kleptomania gets bad take something marriage outlawed outlaws would laws perfectionist parents though life endless struggle full frustrations challenges eventually find hair stylist like getting old get sensation rocking chair got roller coaster one life mysteries two pound box candy make woman gain five pounds frustrating know answers nobody bothers ask questions real art conversation say right thing right time also leave unsaid wrong thing tempting moment time may great healer also lousy beautician brain cells come brain cells fat cells live forever age always bring wisdom sometimes age comes alone life begins forty begins show stop laughing grow old grow old stopped laughing attl htm,spam
25040,0.0,ham,0576.2000-03-07.farmer.ham.txt,subject welcome woodworkingtips com please save welcome message welcome woodworkingtips com ever need get contact owner list send email tips manager ever want change email address thanks subscribing tips manager visit woodworking home improvement sites downloadable plans plansnow woodsmith magazine shopnotes magazine workbench magazine kits jigs tools project plans woodworking magazines back issues,spam
23619,0.0,ham,4051.2001-01-16.beck.ham.txt,subject congratulations congratulations latest achievement great recognized hard work dedication sincerely,spam
27738,0.0,ham,4597.2001-05-23.farmer.ham.txt,subject gymnastics pictures,spam
33693,0.0,ham,5582.2002-02-11.lokay.ham.txt,subject website,spam
23381,0.0,ham,4021.2001-01-16.beck.ham.txt,subject promotion congratulations well done,spam
26659,0.0,ham,3058.2000-12-11.farmer.ham.txt,subject invitation dinner music started clicking sound icon stop music right click end show heather,spam
24743,0.0,ham,0340.2000-02-04.farmer.ham.txt,subject whose needs perfect proprietary husband wife getting snugly bed passion heating wife stops says feel like want hold husband says wife explains must tune emotional needs woman husband realizes nothing going happen tonight might well deal next day husband takes shopping big department store walks around try three expensive outfits decide tells wife take three get matching shoes worth jewelry dept gets set diamond ear rings wife excited thinks husband flipped care goes tennis bracelet husband says even play tennis like let get wife jumping excited cannot even believe going says ready lets cash register husband stops says honey feel like buying stuff wife face goes blank says honey want hold stuff look face indescribable explode husband says must tune financial needs man,spam
