,name,origin_address
0,01103.1ad34526adee0adab5a8cda98d3f2182,"Unknown city, Unknown state, Norway"
1,00726.26fb8f2aeedad636c461a560247d4f46,"Unknown city, Unknown state, United States"
2,01047.2e01ca2cd13baa8ba6fe1429f39f85de,"South Whitley, Indiana, United States"
3,00767.6dc9c38495942ab7a08e9317d14eb77e,"Belovo, Kemerovo Oblast, Russia"
4,0270.d50e186af7a00114ad967b8f77b70338,"Wieselburg, Lower Austria, Austria"
5,00235.45b5f386cf62b5865d9d4440d8b78aab,"Unknown city, Unknown state, Switzerland"
6,00382.98464d934c8402ef42e6dbdb07b18a65,"Juiz de Fora, Minas Gerais, Brazil"
7,0474.81ea7ec9e00168efe6bb824d08825ef3,"São Paulo, Sao Paulo, Brazil"
8,01199.5a219c9b3e55a0136d8039fd74675570,"Unknown city, Unknown state, United States"
9,01025.936514974d8ee8794cf80e3effea92c7,"Berlin, Land Berlin, Germany"
10,00142.eddc7114a8566cbf83fa8210bf0d3603,"Unknown city, Liaoning, China"
11,0397.c02eba1386b00d640c954e5117dd1aa0,"Cernusco sul Naviglio, Milan, Italy"
12,0384.e25b766bea2f1efe35eccb7eb6f54e37,"Amsterdam, North Holland, Netherlands"
13,00215.0378888fa9823523e61a6b922a4e3b55,"Taichung, Taichung City, Taiwan"
14,00305.1f2a712e25638b0a4868155b37022cf1,"Central, Central and Western District, Hong Kong"
15,01331.e35989787f99e9f234da42636eb43f22,"Unknown city, Unknown state, Argentina"
16,01264.52c303d4e65ae6c83bedb1dc8db0d0c7,"Unknown city, Unknown state, Indonesia"
17,00197.5a921df53d215a60d557c68754559e93,"Unknown city, Unknown state, United States"
18,01380.fa9b4e89ba485def2921e01ae9fb7671,"Keller, Texas, United States"
19,0365.212dff15cc46d4650d9a270bf595b42f,"Chengdu, Sichuan, China"
20,00477.24ef7a042f97482f884387c75249380c,"Unknown city, Unknown state, United States"
21,00180.13a95a2542a0fd01ff24303561cca949,"Paris, Paris, France"
22,01323.043a9a503f711ebb76897fa1c352d7cd,"Orange, California, United States"
23,00445.a5edbd936b830407d1a56b31ff3b82c0,"Unknown city, Unknown state, United States"
24,0212.9a9f009a6d601e2e34c1b95353983352,"Unknown city, Unknown state, United States"
25,00391.e2c76e9dc5ef65b90275138f73eb475b,"Whitstable, Kent, United Kingdom"
26,01107.5b3ad5e88347b08967ec627b815f2fc3,"Quanzhou, Fujian, China"
27,01263.4e9dc99aae6eafdf9233e60b6d3225f9,"Unknown city, Unknown state, United States"
28,00668.a28b3329f4c8fe4b0761a214362ed3f9,"Unknown city, Unknown state, Nigeria"
29,00124.db848e36f1b4c2705cbc16ef33a302d4,"Not found, Not found, Not found"
30,00598.55751466eb0cbc307da570a603daa3d6,"Unknown city, Unknown state, United States"
31,00916.018fdcfbee3a549dc675f169a1243e16,"Unknown city, Unknown state, China"
32,00332.2b6d5012de45ae27edbda7f94c54636e,"Unknown city, Unknown state, United Kingdom"
33,0253.f715f442da45114754198a160195b883,"Unknown city, Unknown state, United States"
34,01049.621d66148b023203d9010ee5df12ddd1,"Unknown city, Unknown state, United States"
35,01342.7f89acf56fb4398340a0b07481e3193f,"OEsthammar, Uppsala, Sweden"
36,00719.bf9933750646983c4ae5f98b6f06ec41,"Unknown city, Unknown state, Spain"
37,00251.2ca1d22841d472917231911f63572dfd,"Ma Tau Wai, Kowloon City, Hong Kong"
38,00533.4bf72df6acf3c08c213584469484b0ed,"Bourgoin, Isère, France"
39,00937.ab1a356a481bf9a59d00fd39d309e33f,"Not found, Not found, Not found"
40,00481.5c95b526e965fa325044123c4ce29c1f,"Shenzhen, Guangdong, China"
41,00790.365798c56fbfc98b2c8e4cbce0417999,"Unknown city, Unknown state, United States"
